nodes,cassandra,hdfs,tensorflow,hbase,kafka,dummy
10,130,195.3320313,1200,292.9980469,1429,20
20,276,400.4306641,2500,595.7626953,2837,40
30,439,595.7626953,3700,869.2275391,4260,60
40,602,820.3945313,4900,1240.358398,5676,80
50,775,1015.726563,6100,1474.756836,7097,100
60,964,1211.058594,7300,1797.054688,8570,120
70,1174,1435.69043,8500,2217.018555,9930,140
80,1377,1611.489258,9600,2607.682617,11355,160
90,1608,1826.354492,10900,2959.280273,12741,180
100,1836,2031.453125,11900,3349.944336,14165,200
