nodes,cassandra,hdfs,tensorflow,hbase,kafka
10,97.666015625,195.3320313,1200,292.9980469,1429
20,332.0644531,400.4306641,2500,595.7626953,2837
30,527.3964844,595.7626953,3700,869.2275391,4260
40,722.7285156,820.3945313,4900,1240.358398,5676
50,937.59375,1015.726563,6100,1474.756836,7097
60,1142.692383,1211.058594,7300,1797.054688,8570
70,1328.257813,1435.69043,8500,2217.018555,9930
80,1513.823242,1611.489258,9600,2607.682617,11355
90,1718.921875,1826.354492,10900,2959.280273,12741
100,1943.553711,2031.453125,11900,3349.944336,14165
